Year,AdminISO,AdminName,Population,Cases,Incidence
1936,CO,COLORADO,1090.000,597,54.771
1936,CT,CONNECTICUT,1672.000,3828,228.947
1936,DC,DISTRICT OF COLUMBIA,629.000,2111,335.612
1936,DE,DELAWARE,253.000,1407,555.929
1936,FL,FLORIDA,1651.000,301,18.262
1936,GA,GEORGIA,2978.000,8,0.269
1936,HI,HAWAII,,,
1936,IA,IOWA,2509.000,200,7.971
1936,ID,IDAHO,495.000,1300,262.626
1936,IL,ILLINOIS,7840.000,1206,15.389
1936,IN,INDIANA,3348.000,706,21.087
1936,KS,KANSAS,1869.000,433,23.167
1936,KY,KENTUCKY,2768.000,2205,79.660
1936,LA,LOUISIANA,2246.000,1296,57.703
1936,MA,MASSACHUSETTS,4355.000,26731,613.789
1936,MD,MARYLAND,1745.000,7073,405.330
1936,ME,MAINE,840.000,7492,891.905
1936,MI,MICHIGAN,4889.000,2332,47.709
1936,MN,MINNESOTA,2734.000,7738,283.029
1936,MO,MISSOURI,3801.000,659,17.351
1936,MS,MISSISSIPPI,2072.000,,
1936,MT,MONTANA,554.000,452,81.588
1936,NC,NORTH CAROLINA,3346.000,1347,40.257
1936,ND,NORTH DAKOTA,664.000,110,16.566
1936,NE,NEBRASKA,1358.000,1173,86.340
1936,NH,NEW HAMPSHIRE,481.000,891,185.343
1936,NJ,NEW JERSEY,4084.000,8783,215.059
1936,NM,NEW MEXICO,489.000,1149,234.969
1936,NV,NEVADA,101.000,,
1936,NY,NEW YORK,13481.000,64365,477.453
1936,OH,OHIO,6801.000,9285,136.524
1936,OK,OKLAHOMA,2365.000,360,15.222
1936,OR,OREGON,1025.000,9421,919.122
1936,PA,PENNSYLVANIA,9767.000,23783,243.504
1936,RI,RHODE ISLAND,686.000,2529,368.659
1936,SC,SOUTH CAROLINA,1781.000,859,48.231
1936,SD,SOUTH DAKOTA,666.000,224,33.634
1936,TN,TENNESSEE,2791.000,1400,50.161
1936,TX,TEXAS,6192.000,7776,125.581
1936,UT,UTAH,527.000,621,117.837
1936,VA,VIRGINIA,2552.000,75917,2974.790
1936,VT,VERMONT,357.000,456,127.841
1936,WA,WASHINGTON,1653.000,7665,463.702
1936,WI,WISCONSIN,3082.000,3900,126.541
1936,WV,WEST VIRGINIA,1808.000,1144,63.274
1936,WY,WYOMING,240.000,138,57.500
1937,AK,ALASKA,,,
1937,AL,ALABAMA,2762.000,620,22.448
1937,AR,ARKANSAS,1903.000,322,16.921
1937,AZ,ARIZONA,453.000,3793,837.307
1937,CA,CALIFORNIA,6528.000,5107,78.232
1937,CO,COLORADO,1104.000,1027,93.025
1937,CT,CONNECTICUT,1678.000,10181,606.734
1937,DC,DISTRICT OF COLUMBIA,616.000,2053,333.279
1937,DE,DELAWARE,254.000,1796,707.087
1937,FL,FLORIDA,1709.000,394,23.054
1937,GA,GEORGIA,3037.000,,
1937,HI,HAWAII,,,
1937,IA,IOWA,2498.000,269,10.769
1937,ID,IDAHO,507.000,1233,243.195
1937,IL,ILLINOIS,7857.000,11545,146.939
1937,IN,INDIANA,3374.000,7088,210.077
1937,KS,KANSAS,1856.000,782,42.134
1937,KY,KENTUCKY,2784.000,6842,245.761
1937,LA,LOUISIANA,2257.000,468,20.735
1937,MA,MASSACHUSETTS,4358.000,20846,478.339
1937,MD,MARYLAND,1754.000,12246,698.176
1937,ME,MAINE,842.000,1131,134.323
1937,MI,MICHIGAN,4968.000,5743,115.600
1937,MN,MINNESOTA,2746.000,690,25.127
1937,MO,MISSOURI,3794.000,7073,186.426
1937,MS,MISSISSIPPI,2086.000,0,0.000
1937,MT,MONTANA,554.000,619,111.733
1937,NC,NORTH CAROLINA,3385.000,7652,226.056
1937,ND,NORTH DAKOTA,655.000,55,8.397
1937,NE,NEBRASKA,1339.000,462,34.503
1937,NH,NEW HAMPSHIRE,481.000,1891,393.139
1937,NJ,NEW JERSEY,4088.000,45334,1108.953
1937,NM,NEW MEXICO,503.000,2451,487.276
1937,NV,NEVADA,103.000,,
1937,NY,NEW YORK,13511.000,27404,202.827
1937,OH,OHIO,6809.000,24944,366.339
1937,OK,OKLAHOMA,2334.000,1065,45.630
1937,OR,OREGON,1048.000,400,38.168
1937,PA,PENNSYLVANIA,9790.000,38270,390.909
1937,RI,RHODE ISLAND,694.000,4714,679.251
1937,SC,SOUTH CAROLINA,1802.000,1787,99.168
1937,SD,SOUTH DAKOTA,656.000,65,9.909
1937,TN,TENNESSEE,2795.000,2974,106.404
1937,TX,TEXAS,6250.000,14694,235.104
1937,UT,UTAH,529.000,2099,396.786
1937,VA,VIRGINIA,2590.000,7494,289.326
1937,VT,VERMONT,356.000,1201,337.413
1937,WA,WASHINGTON,1681.000,1737,103.331
1937,WI,WISCONSIN,3088.000,2055,66.548
1937,WV,WEST VIRGINIA,1813.000,1995,110.039
1937,WY,WYOMING,243.000,170,69.959
1938,AK,ALASKA,,,
1938,AL,ALABAMA,2787.000,13836,496.430
1938,AR,ARKANSAS,1928.000,6878,356.717
1938,AZ,ARIZONA,466.000,696,149.356
1938,CA,CALIFORNIA,6656.000,18524,278.305
1938,CO,COLORADO,1112.000,9160,823.696
1938,CT,CONNECTICUT,1684.000,1811,107.542
1938,DC,DISTRICT OF COLUMBIA,638.000,738,115.596
1938,DE,DELAWARE,257.000,607,235.992
1938,FL,FLORIDA,1771.000,9171,517.843
1938,GA,GEORGIA,3091.000,9271,299.935
1938,HI,HAWAII,,,
1938,IA,IOWA,2494.000,5566,223.196
1938,ID,IDAHO,513.000,2184,425.731
1938,IL,ILLINOIS,7866.000,90078,1145.156
1938,IN,INDIANA,3386.000,17715,523.184
1938,KS,KANSAS,1842.000,10740,583.062
1938,KY,KENTUCKY,2800.000,11018,393.482
1938,LA,LOUISIANA,2285.000,1022,44.748
1938,MA,MASSACHUSETTS,4365.000,10039,229.989
1938,MD,MARYLAND,1766.000,2809,159.060
1938,ME,MAINE,843.000,4296,509.668
1938,MI,MICHIGAN,5056.000,76119,1505.528
1938,MN,MINNESOTA,2753.000,7053,256.193
1938,MO,MISSOURI,3781.000,19866,525.403
1938,MS,MISSISSIPPI,2127.000,0,0.000
1938,MT,MONTANA,552.000,6181,1119.746
1938,NC,NORTH CAROLINA,3440.000,47587,1383.343
1938,ND,NORTH DAKOTA,647.000,5587,863.447
1938,NE,NEBRASKA,1326.000,2772,209.087
1938,NH,NEW HAMPSHIRE,485.000,1656,341.340
1938,NJ,NEW JERSEY,4100.000,29396,716.976
1938,NM,NEW MEXICO,513.000,3226,628.947
1938,NV,NEVADA,105.000,,
1938,NY,NEW YORK,13512.000,70108,518.857
1938,OH,OHIO,6837.000,47468,694.281
1938,OK,OKLAHOMA,2324.000,2711,116.631
1938,OR,OREGON,1067.000,1300,121.884
1938,PA,PENNSYLVANIA,9952.000,132339,1329.773
1938,RI,RHODE ISLAND,694.000,250,35.951
1938,SC,SOUTH CAROLINA,1834.000,6848,373.419
1938,SD,SOUTH DAKOTA,649.000,1379,212.481
1938,TN,TENNESSEE,2821.000,11387,403.651
1938,TX,TEXAS,6301.000,6008,95.350
